input_vo,AmRefRfw,Cvs,Rap,sfact,c3
P90_Nx,320.05348205566406,0.6179882049560547,17.186275482177734,0.9182769775390623,0.047877910041809
P90_Nx,318.81446838378906,0.1650768280029297,19.368709564208984,0.6083648681640625,0.0424420671463012
P90_Nx,306.8264678838496,0.7847961742179238,14.466562123658475,0.8052001735319888,0.0397120811665369
P90_Nx,337.4897003173828,0.572518539428711,20.518779754638672,0.6178985595703126,0.0122286279678344
P90_Nx,316.66159028610616,0.5235621264286652,6.2443453992200695,0.5058893154004639,0.0237120786431103
P90_Nx,302.86216735839844,0.7623279571533204,18.52109146118164,0.7699188232421876,0.0353473470687866
P90_Nx,316.1155700683594,0.4664970397949218,20.15404510498047,0.643096923828125,0.0018033870697021
P90_Nx,323.1025695800781,0.4425056457519531,17.933998107910156,0.5637145996093751,0.0193936588287353
P90_Nx,300.1476287841797,0.213821792602539,23.528919219970703,0.2419036865234375,0.0062802213668823
P90_Nx,313.8778686523437,0.9300308227539062,14.101242065429688,0.38919677734375,0.0101206382751464
P90_Nx,327.42646499672065,0.4210007631395191,12.25066140579588,0.9964695668007668,0.018461676777167
P90_Nx,309.7564697265625,0.3608428955078125,25.379364013671875,0.2530517578125,0.0108744308471679
P90_Nx,302.8911573461268,0.502989334582811,26.832226330605693,0.900602054301567,0.0262293918029845
P90_Nx,337.6160637456092,0.6656161332015685,11.171889487130612,0.3986893547167146,0.0018627171111765
P90_Nx,300.74462890625,0.63228759765625,11.7935791015625,0.44736328125,0.0288602722167968
P90_Nx,370.0786590576172,0.7856327056884765,11.599872589111328,0.9825042724609376,0.0012757703781127
P90_Nx,333.3244323730469,0.3911582946777344,2.4795150756835938,0.999371337890625,0.0392338756561279
P90_Nx,321.3306427001953,0.4223079681396484,6.779003143310547,0.9502960205078126,0.0103247110366821
P90_Nx,303.6235809326172,0.6120487213134765,19.798603057861328,0.2297698974609375,0.0104218885421752
P90_Nx,303.71940693832545,0.4768385940433465,11.67306823477489,0.6790822969392618,0.0370334377872613
P90_Nx,333.32061767578125,0.5235641479492188,16.109329223632812,0.49141845703125,0.0209694587707519
P90_Nx,314.96543884277344,0.4087329864501953,5.849521636962891,0.3485809326171875,0.0148996755599975
P90_Nx,307.87762252601914,0.3096753737419301,17.712391246881623,0.8802685866925342,0.043640945631367
P90_Nx,329.39082988506414,0.4342964024347816,1.9781696370210204,0.2375096537510231,0.0131097226761812
P90_Nx,315.02285328628733,0.297005677162675,6.42107364431071,0.4208495269495067,0.0145595683996244
