input_vo,AmRefRfw,Cvs,Rap,sfact,c3
P21_Hx,114.6531579099828,0.1292554865934277,88.69675547653736,0.6965995799464832,0.0026552930121126
P21_Hx,116.9689858415676,0.1544223192918731,84.8417993786096,0.8767908291746499,0.0256852741566274
P21_Hx,122.1235826265901,0.2208860166560751,129.2126387231039,0.9566919166464288,0.0276933264750879
P21_Hx,113.14385052321532,0.2146636075792822,137.66286569736252,0.613098524671641,0.0243490856975613
P21_Hx,110.96527099609376,0.1216102600097656,137.32742309570312,0.501348876953125,0.0281594509124755
P21_Hx,112.21847534179688,0.2245830535888672,111.68571472167967,0.7093109130859376,0.0187783918380737
P21_Hx,115.6244819153116,0.1323409720782033,97.86103104877242,0.588890914888355,0.0039725311802909
P21_Hx,121.08566284179688,0.0836650848388672,139.9864959716797,0.9225921630859376,0.0037055891036987
P21_Hx,114.11865960835344,0.0667766301276352,118.52674955288713,0.6731472940083502,0.0427632761280953
P21_Hx,121.48672280124184,0.1393560026511645,155.23746226409588,0.6085647047053317,0.00235351993765
P21_Hx,115.12009784306696,0.2402848822791017,160.6162562737687,0.6699848379798836,0.0321800920386348
P21_Hx,111.547602288269,0.1311795690388946,97.32377923434235,0.493026614056583,0.02999591367429
P21_Hx,110.41349058849023,0.1024692851332463,126.11151359766528,0.944918267856323,0.0327419665524477
P21_Hx,110.47910042705956,0.0741954190127755,141.23229442260396,0.5204008097226823,0.0232590625037127
P21_Hx,110.66909790039062,0.205020523071289,150.53627014160156,0.7751861572265626,0.0426844392776489
P21_Hx,109.7675860844268,0.1405608371934157,76.27928846149635,0.5949970214627661,0.0383703093610676
P21_Hx,122.33551025390624,0.1492912292480468,98.83468627929688,0.445281982421875,0.0175049854278564
P21_Hx,108.32443237304688,0.2066204071044922,153.5643768310547,0.9672698974609376,0.0252507947921752
P21_Hx,124.41879272460938,0.1031429290771484,133.16978454589844,0.9922332763671876,0.0009426992416381
P21_Hx,126.03530883789062,0.244681167602539,156.94496154785156,0.7192291259765626,0.0153009614944458
P21_Hx,113.17428947526436,0.1700401451701753,151.7837246409536,0.3837553313146429,0.0094705996318719
P21_Hx,106.09135460153227,0.067408528937667,58.460161239696326,0.6508351590052008,0.0255802620635776
P21_Hx,123.104248046875,0.1945709228515625,149.6502685546875,0.7627685546875,0.0201211563110351
P21_Hx,116.51371528169967,0.1353808243478478,84.42611658963189,0.7671200011620892,0.0476146657231344
