,AmRefRfw,Cvs,Rap,sfact,c3,RVEDV,RVESV,RVEDP,RVMaxP,RVSV
0,115.69442749023438,0.20402488708496092,169.53269958496094,0.7898162841796876,0.0039319555282592775,0.04041956787476663,0.015299926333502504,2.9177514139510454,38.98456674263427,0.02511964154126413
1,111.32224572930183,0.11238849043024964,139.73851812743436,0.4089631435061103,0.015854415040316743,0.05536005681584649,0.025126970946027945,3.759580777751857,39.80607203842096,0.030233085869818547
2,110.03583526709727,0.05436972938042964,121.91541897809407,0.63746797197636,0.03307117556662413,0.05569654558291913,0.022689858001289184,5.223710409402787,45.06162995712723,0.033006687581629945
3,108.48892211914062,0.06287574768066406,95.10536193847656,0.6026763916015625,0.010487054634094238,0.05090138772686649,0.01366164787566106,4.829438699767414,43.3290714498931,0.03723973985120543
4,109.15543232559807,0.06645784992576204,108.93937839940632,0.919119184178656,0.036895236153721596,0.05208169979395247,0.016444390910651342,4.672997431764798,45.16039235101864,0.035637308883301126
5,116.34269615779141,0.1276878844840722,113.04425040804867,0.5520516750722715,0.028014632531442922,0.059571372822185095,0.02919032729890112,3.701653424631021,34.98976989527654,0.030381045523283974
6,111.0302734375,0.16129150390625,125.95947265625,0.45107421875000003,0.029457818603515627,0.05152130212992355,0.02503859890884854,3.464801014133827,33.61301046873748,0.02648270322107501
7,106.90460205078125,0.11130599975585938,104.06845092773438,0.361712646484375,0.02333563575744629,0.04667656307474511,0.019216452582667673,4.127619410708639,34.01798987214251,0.027460110492077437
8,122.11883544921875,0.09988479614257813,135.71670532226562,0.9314025878906251,0.010502869796752929,0.06155939422019666,0.026729168529298835,3.9079133812707836,42.570430155425655,0.03483022569089783
9,121.37941552184778,0.145711253251577,113.61133748404077,0.7967287878177927,0.014459342117493116,0.05723210809280916,0.02611297582591492,3.590691724976858,34.840115806559076,0.03111913226689424
10,122.12142944335938,0.16032676696777343,104.87754821777344,0.6550750732421875,0.03822532558441162,0.06398437281572139,0.036463942498646734,3.343169555836057,30.773738166368364,0.027520430317074657
11,116.59310433693743,0.21953703655213236,121.40972774869068,0.9587466417240109,0.0386790583398579,0.044963631859456496,0.022873270676579707,3.047150613387119,30.38118071863403,0.02209036118287679
12,131.15707397460938,0.16364097595214844,118.47251892089844,0.9918426513671876,0.014674071311950684,0.06566951953816072,0.03615621672352491,3.388019755289587,35.10049426315648,0.02951330281463581
13,109.2779541015625,0.07182159423828124,127.32025146484375,0.22076416015625,0.01275319595336914,0.0547531571478357,0.03108072105139274,4.885931235967124,37.050116704031076,0.02367243609644296
14,116.45645141601562,0.14094276428222657,95.89576721191406,0.6869781494140625,0.045484675788879395,0.05785566135552319,0.028762492303439184,3.679100230467053,31.434958076882648,0.029093169052084006
15,109.27337646484375,0.13704605102539064,84.10110473632812,0.903350830078125,0.04546695518493653,0.04614885693047089,0.015301601797882916,3.70862680560115,33.70213848011105,0.030847255132587972
16,114.79232769922437,0.1174523376083833,158.1652638521661,0.7275856139458386,0.028743095057530293,0.05572484742808628,0.025462180280869478,3.713233052140237,43.75190692425533,0.030262667147216805
17,123.76420928090276,0.13794191293854738,92.25744357590233,0.6124986584598635,0.034164402195508224,0.0676712320050803,0.03765287429919765,3.685345163166777,31.09237473123129,0.030018357705882646
18,111.9879150390625,0.09178009033203124,130.24261474609375,0.6523071289062501,0.04792916641235352,0.05547069303182606,0.025474178370031648,4.159157932014893,40.4919869081291,0.02999651466179441
19,120.07247171202982,0.10501879007416617,123.9830962945737,0.9292444040595634,0.04019938505727031,0.06409217676855566,0.031419504079304994,3.846682555353568,39.52481079945272,0.03267267268925067
20,105.46585083007812,0.05914497375488281,107.45918273925781,0.7272491455078125,0.04181174716949463,0.04648078728672975,0.014400681266312899,5.42813292848493,42.73416167458188,0.032080106020416846
21,115.93759136102584,0.17627550916627024,138.45611479513116,0.8368085270762566,0.01592851900136741,0.046419532888772215,0.018785485192543538,3.2426568901275763,37.04516257472892,0.027634047696228677
22,127.69180297851562,0.23450965881347657,127.73414611816406,0.5734039306640626,0.01038187427520752,0.059887802741456504,0.03570923291910109,2.856198676653589,30.703569949495545,0.024178569822355417
