,AmRefRfw,Cvp,Cas,Cvs,Cap,Rvp,Rcs,Ras,Rvs,Rcp,Rap,Rav,sfact,c3,RVEDV,RVESV,RVEDP,RVMaxP,RVSV
0,135.83984375,0.00730615234375,0.00159541015625,0.178291015625,0.0036044921875,9.5283203125,56.69921875,599.3896484375,1.918603515625,7.6904296875,168.564453125,8.7041015625,0.937109375,0.0034889404296875,0.061706964106890534,0.037485974638377995,3.224021118169912,35.624878546942206,0.02422098946851254
1,106.328125,0.006923828125,0.001676953125,0.0801953125,0.0081367187499999,5.83203125,41.015625,442.28515625,2.7888671875,7.94921875,169.7265625,10.43359375,0.4734375,0.03312236328125,0.04675427526913189,0.020967499475949936,4.786245703486789,39.78604705591777,0.025786775793181952
2,107.666015625,0.004372802734375,0.001177197265625,0.0822705078125,0.01487353515625,10.46826171875,45.009765625,530.72509765625,2.7822021484375,7.03369140625,31.5380859375,6.75927734375,0.6919921875,0.0418172729492187,0.04399987521372743,0.012560449370041972,4.549371858786431,24.15092272856632,0.03143942584368546
3,139.4140625,0.0062294921875,0.0013966796875,0.13986328125,0.006017578125,3.478515625,64.9609375,352.197265625,2.35849609375,7.724609375,131.58203125,3.474609375,0.91640625,0.044975732421875,0.09817892619786253,0.06214898674488925,3.3359459936317415,40.99659383907379,0.03602993945297328
4,137.978515625,0.007396240234375,0.001481884765625,0.1705517578124999,0.00492041015625,4.60888671875,34.697265625,454.55322265625,0.4970458984375,9.92431640625,80.7568359375,4.46240234375,0.3982421875,0.0414270385742187,0.09810871364524902,0.071442557382288,2.133630995361683,32.80240879594234,0.026666156262961024
5,104.16015625,0.00951220703125,0.00124091796875,0.134443359375,0.0120400390625,12.0185546875,33.53515625,526.3916015625,3.034521484375,13.8916015625,125.224609375,11.9443359375,0.850390625,0.0451952392578125,0.027391532879985615,0.009864370676649834,4.059971671503941,32.1926101447258,0.01752716220333578
6,101.328125,0.001298828125,0.001301953125,0.0926953125,0.0098867187499999,4.58203125,66.015625,598.53515625,0.3513671874999999,11.69921875,82.2265625,8.68359375,0.9734375,0.03936611328125,0.034377371494156546,0.002636651412895599,3.5844115922338293,39.430852125783936,0.03174072008126095
7,103.37890625,0.00898486328125,0.00136201171875,0.101240234375,0.0015947265625,9.5576171875,31.19140625,388.6962890625,0.703662109375,7.4462890625,95.146484375,8.0615234375,0.566015625,0.0489024658203125,0.04546381858290307,0.016796380565113816,4.574632781314079,34.87557989925259,0.028667438017789253
8,102.099609375,0.002531494140625,0.001136669921875,0.1321240234375,0.0118862304687499,11.55712890625,65.302734375,462.73193359375,0.3199462890625,12.65380859375,32.5634765625,6.61572265625,0.7423828125,0.0275005493164062,0.03671667290677457,0.0028637229253350802,3.0572175834542574,30.877775212937376,0.03385294998143949
9,101.689453125,0.006156982421875,0.001580517578125,0.1054150390625,0.00143408203125,4.05224609375,31.298828125,372.27783203125,0.4018310546875,12.78564453125,168.6669921875,4.58544921875,0.5333984375,0.0322077514648437,0.04875052455488284,0.018243608749454212,4.259972754732843,51.17094302940107,0.030506915805428626
10,134.130859375,0.001090087890625,0.001367138671875,0.1614208984375,0.00865966796875,9.33056640625,38.896484375,592.61474609375,1.3406494140625,14.64599609375,33.1103515625,8.42041015625,0.9017578125,0.0237933227539062,0.06833334445034737,0.039031091564482014,3.4932791636344582,26.619751361841303,0.02930225288586536
11,136.50390625,0.00743798828125,0.00134638671875,0.1340527343749999,0.0079384765625,11.5888671875,69.31640625,533.2275390625,3.689599609375,11.3525390625,84.208984375,10.0302734375,0.7535156250000001,0.0356344970703125,0.07474173883036286,0.05102385874731927,4.35702054131612,28.136686938850787,0.023717880083043597
12,105.60546875,0.00176904296875,0.00099189453125,0.150751953125,0.0020458984374999,12.5947265625,69.74609375,474.8779296875,0.8598144531249999,11.6162109375,113.603515625,9.8798828125,0.8324218750000001,0.0074888427734375,0.03654998844793825,0.0044471176330202426,4.384113739720353,41.41707883994741,0.03210287081491801
13,133.818359375,0.006926025390625,0.000921826171875,0.1247021484375,0.01445654296875,12.53369140625,31.083984375,578.94287109375,1.0054931640625,9.88037109375,115.1416015625,1.96728515625,0.2080078125,0.0116960571289062,0.09399541352384361,0.06904092077799462,1.8303290685485964,32.982918820424935,0.02495449274584899
14,134.47265625,0.00845751953125,0.00168623046875,0.091474609375,0.0106181640624999,6.3154296875,69.47265625,415.0634765625,3.004052734375,7.4072265625,115.380859375,3.7412109375,0.994140625,0.0065620361328125,0.07432948121512603,0.03758878988252084,3.462521638433379,36.82150936565895,0.03674069133260519
15,102.998046875,0.009624267578125,0.001178662109375,0.1667919921875,0.00137255859375,4.30126953125,65.029296875,353.11279296875,2.2966064453125,6.72607421875,66.8798828125,4.38720703125,0.4337890625,0.0017938598632812,0.04126216585996859,0.0031879616515162897,4.190668837609286,32.21761708306193,0.038074204208452304
