,mu_baseline,sigma_baseline,min,max
RVEDV,0.641,0.181,0.268,0.95
RVESV,0.272,0.117,0.092,0.455
RVEDP,2.6,1.1,0.3,4.5
RVMaxP,22,4.2,13,32
RVSV,0.357,0.094,0.161,0.528
