,mu_baseline,sigma_baseline,min,max
RVEDV,0.0472,0.00974,0.034,0.065
RVESV,0.02026,0.0096,0.011,0.035
RVEDP,2.22,1.17,1,4.5
RVMaxP,23.32,5.5,14,33
RVSV,0.0285,0.00465,0.021,0.034
