,mu_baseline,sigma_baseline,min,max
RVEDV,0.72,0.162,0.511,1.08
RVESV,0.372,0.088,0.173,0.563
RVEDP,3.8,1.6,1.4,7.3
RVMaxP,30.5,7.5,21,45
RVSV,0.358,0.105,0.222,0.574
