,mu_baseline,sigma_baseline,min,max
RVEDV,0.422,0.094,0.305,0.656
RVESV,0.188,0.057,0.098,0.299
RVEDP,4,2.3,1,9
RVMaxP,30.6,6.5,24,45
RVSV,0.245,0.053,0.155,0.336
